,Unnamed: 0,index,contract_id,ico,dlhy_nedoplatky,pohladavky_statu,employees,competition,money_saved,money_spent,sales,profit,company_age
0,0,0,422383,31325921.0,1,0,50,2,0.0,111340.0,6765979.0,118069,10185.0
1,1,1,414532,35737328.0,0,0,150,1,0.0014,3661316.0,46926940.0,1308029,8144.0
2,3,3,416837,36627330.0,0,0,3,1,20.7583,994249.0,1695898.0,3016,5782.0
3,4,4,416837,36598089.0,0,0,10,1,0.5224000000000001,1254705.0,1164304.0,34201,5325.0
4,5,5,416837,36598089.0,0,0,10,1,0.0449,1081293.0,1164304.0,34201,5325.0
5,6,6,416837,36716910.0,0,0,2,1,0.498,815681.0,243374.0,2995,4878.0
6,7,7,416837,43931898.0,0,0,1,1,0.0,2262930.0,98363.0,-19780,4472.0
7,9,9,423794,50803522.0,0,0,2,3,17.898,1248544.0,717741.0,7389,1129.0
8,10,10,418547,35728531.0,0,0,50,3,7.285899999999999,5996900.0,13379847.0,180957,8245.0
9,11,11,420787,31437842.0,0,0,25,4,18.1987,531281.0,3532163.0,187631,9816.0
10,12,12,421299,51443287.0,0,0,250,4,0.0,500000.0,109685535.0,131482,786.0
11,13,13,421299,51443287.0,0,0,250,4,0.0,500000.0,109685535.0,131482,786.0
12,17,17,424153,50293893.0,0,0,3,2,22.2467,25370.0,261625.0,42053,1462.0
13,18,18,421577,36017671.0,0,0,10,3,1.8651,182300.0,4998035.0,53788,8480.0
14,19,19,157149,36451614.0,0,0,25,4,0.0,294000.0,8927520.0,80878,8186.0
15,20,20,419704,31350780.0,0,1,25,2,-1.013,78581.0,30210950.0,2044624,9838.0
16,21,21,412751,47428171.0,0,0,3,4,3.9448,288303.0,411190.0,-75772,2401.0
17,22,22,423765,36667102.0,0,0,50,10,44.2041,202875.0,36447797.0,-1101699,5000.0
18,23,23,418602,31606458.0,0,0,25,1,0.0,700000.0,9735498.0,1021785,9485.0
19,24,24,419502,36033987.0,0,0,50,2,2.6385,1196500.0,12673211.0,1516312,7799.0
20,25,25,411113,35777541.0,0,0,3,1,-0.0213,94100.0,1708610.0,109113,7456.0
21,26,26,411113,31625657.0,0,1,500,2,18.248900000000006,94120.0,506624672.0,2283408,9180.0
22,27,27,411113,35777541.0,0,0,3,1,10.8347,115130.0,1708610.0,109113,7456.0
23,28,28,411113,34113924.0,0,0,250,1,0.0089,22409.0,319548045.0,1503146,9241.0
24,29,29,411113,34113924.0,0,0,250,2,-0.0148,148590.0,319548045.0,1503146,9241.0
25,30,30,411113,35777541.0,0,0,3,1,26.805,4820.0,1708610.0,109113,7456.0
26,31,31,417284,36000124.0,0,0,25,1,0.83,1000000.0,12544799.0,1941777,8795.0
27,33,33,418377,31717802.0,1,0,25,7,0.0,27234.0,17783353.0,369611,8912.0
28,34,34,418377,35758481.0,0,0,5,7,45.606,27234.0,9110675.0,1698062,7805.0
29,35,35,418377,34142941.0,0,1,250,7,0.6271,50068.0,594933000.0,4275000,8702.0
30,36,36,418377,31625657.0,0,1,500,7,0.1148,47919.0,506624672.0,2283408,9180.0
31,37,37,419917,31333320.0,0,0,1000,4,7.3865,6149278.0,236127000.0,16033000,9621.0
32,38,38,409173,31320082.0,0,0,10,4,3.0,1182347.0,12904522.0,15125,10256.0
33,39,39,415787,31350780.0,0,1,25,3,3.6801,2201.0,30210950.0,2044624,9838.0
34,40,40,415787,31625657.0,0,1,500,7,32.0035,137663.0,506624672.0,2283408,9180.0
35,41,41,415787,35758481.0,0,0,5,3,13.4191,241023.0,9110675.0,1698062,7805.0
36,42,42,411293,31106064.0,0,1,5,8,17.3629,296166.0,2393162.0,32515,10348.0
37,43,43,415020,31625657.0,0,1,500,5,2.0789,176196.0,506624672.0,2283408,9180.0
38,44,44,415020,31708030.0,0,0,25,4,4.0367,10454.0,96596224.0,1273538,9115.0
39,45,45,415020,34113924.0,0,0,250,5,25.0814,52832.0,319548045.0,1503146,9241.0
40,46,46,413687,36053694.0,0,0,25,2,1.7872,122535.0,12914816.0,313990,6596.0
41,47,47,421779,31625657.0,0,1,500,4,4.7225,3748.0,506624672.0,2283408,9180.0
42,48,48,422755,31350780.0,0,1,25,1,0.0,7680.0,30210950.0,2044624,9838.0
43,49,49,422755,31350780.0,0,1,25,2,21.9829,7680.0,30210950.0,2044624,9838.0
44,50,50,422755,31717802.0,1,0,25,2,0.0,9844.0,17783353.0,369611,8912.0
45,51,51,422755,31350780.0,0,1,25,2,0.0,9844.0,30210950.0,2044624,9838.0
46,52,52,422755,31350780.0,0,1,25,1,23.3333,9844.0,30210950.0,2044624,9838.0
47,53,53,422755,31625657.0,0,1,500,1,0.0,12840.0,506624672.0,2283408,9180.0
48,55,55,419341,35727951.0,0,0,50,3,28.0763,183957.0,16065284.0,139982,8252.0
49,56,56,423599,31326650.0,0,0,250,2,19.012,8300000.0,71898259.0,2282408,10172.0
50,57,57,420981,46447890.0,0,0,20,6,15.7854,613921.0,1098320.0,-103241,3005.0
51,58,58,423444,46061916.0,0,0,1,1,6.6041,2287000.0,616177.0,27675,3351.0
52,60,60,421002,36001741.0,0,0,20,1,0.0,408000.0,650026.0,13641,8765.0
53,61,61,423557,31322051.0,1,0,250,2,39.3743,103532.0,56331000.0,134057000,10226.0
54,62,62,423500,31612989.0,0,0,50,1,0.9307,188357.0,5424791.0,706370,9383.0
55,63,63,423552,31612989.0,0,0,50,1,0.8999999999999999,183000.0,5424791.0,706370,9383.0
56,64,64,422875,51719975.0,0,0,2,3,4.6814,73333.0,98419.0,7830,694.0
57,65,65,422884,17085501.0,0,0,25,2,0.23310000000000006,116666.0,1369631.0,95463,10366.0
